,Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Actors,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Boxoffice,Release Date,Summary,IMDb Votes
15004,Juno,"Comedy, Drama","Independent Dramas,Dramas,Independent Films,Independent Comedies,Comedies","English, Spanish",Movie,4.2,"Russia,Germany",1-2 hour,Jason Reitman,"Jason Bateman, Jennifer Garner, Michael Cera, Elliot Page",7.4,94.0,81.0,90.0,"$143,495,265",25 Dec 2007,"Facing an unplanned pregnancy while in high school, quirky teen Juno devises a plan to locate her unborn babys perfect adoptive parents.",491864.0
15007,The Informant!,"Biography, Comedy, Crime, Drama","Dramas,20th Century Period Pieces,Dramas based on a book,Comedies,Dramas based on real life,Dramas based on contemporary literature,Dark Comedies,Films Based on Real Life,Social Issue Dramas,Films Based on Books","English, German",Movie,3.5,South Africa,1-2 hour,Steven Soderbergh,"Lucas McHugh Carroll, Matt Damon, Rusty Schwimmer, Eddie Jemison",6.4,79.0,66.0,1.0,"$33,316,821",18 Sep 2009,"While gathering evidence against his employer to help the FBI build a price-fixing case, Mark Whitacre begins to piece together a fantasy world.",63030.0
15008,In Bruges,"Comedy, Crime, Drama, Thriller","Dramas,Thrillers,Gangster Films,Comedies,Film Noir,Police Thrillers,Police Dramas,Police Movies,Crime Thrillers,Crime Dramas,British Films",English,Movie,3.8,"Germany,Russia",1-2 hour,Martin McDonagh,"Olivier Bonjour, Elizabeth Berrington, Rudy Blomme, Mark Donovan",7.9,84.0,67.0,24.0,"$7,800,824",29 Feb 2008,"After a job goes wrong in London, two hit men are ordered to lay low at a bed-and-breakfast in Bruges, Belgium, until their boss contacts them.",390877.0
15009,Identity,"Mystery, Thriller","Thrillers,Mysteries,Psychological Thrillers",English,Movie,3.3,Netherlands,1-2 hour,James Mangold,"Amanda Peet, John Hawkes, John Cusack, Ray Liotta",7.3,62.0,64.0,1.0,"$52,159,536",25 Apr 2003,Complete strangers stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer.,227873.0
15014,What If,"Comedy, Romance","Independent Films,Romantic Independent Films,Romantic Comedies,Independent Comedies,Comedies,Romantic Films,Canadian Films",English,Movie,3.3,"Hong Kong,United Kingdom",1-2 hour,Michael Dowse,"Daniel Radcliffe, Zoe Kazan, Adam Driver, Megan Park",6.8,74.0,59.0,2.0,"$3,493,000",15 Aug 2014,"When a medical school dropout meets an animator living with her boyfriend, tensions grow when they suspect they could be more than just friends.",71158.0
15015,The Impossible,"Drama, History, Thriller","Dramas,International Dramas,Spanish Films,International Movies,Tearjerkers,Dramas based on real life,Movies Based on Real Life,US Movies","English, Thai, Swedish",Movie,3.8,"United Kingdom,Sweden,Hungary,Spain,Belgium,Mexico,Hong Kong,Brazil,Netherlands,Italy,Argentina,United States,Colombia,Thailand,South Africa",1-2 hour,J.A. Bayona,"Samuel Joslin, Naomi Watts, Ewan McGregor, Tom Holland",7.6,81.0,73.0,28.0,"$19,019,882",04 Jan 2013,"Tracking one familys harrowing experiences, this gripping drama depicts the chaos generated by the massive 2004 tsunami in Southeast Asia.",201364.0
15016,Insidious,"Horror, Mystery, Thriller","Horror Films,Supernatural Horror Films,Chilling Horror Movies",English,Movie,3.1,"Japan,United Kingdom,Belgium,Netherlands,Germany",1-2 hour,James Wan,"Rose Byrne, Patrick Wilson, Ty Simpkins, Lin Shaye",6.8,66.0,52.0,8.0,"$54,009,150",01 Apr 2011,"Hoping to leave their haunted house behind, a suburban family moves to a new place, only to learn the home wasnt haunted... but their eldest son is.",279316.0
15022,The Hurt Locker,"Drama, Thriller, War","Dramas,Military Dramas,Action Thrillers,Military Action & Adventure,Action & Adventure","English, Arabic",Movie,4.5,"United Kingdom,Italy,Sweden",> 2 hrs,Kathryn Bigelow,"Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce",7.5,97.0,95.0,126.0,"$17,017,811",31 Jul 2009,Kathryn Bigelow directs this gripping drama following one of the U.S. Armys elite explosive ordnance disposal teams operating in Iraq.,422778.0
15023,Hotel Rwanda,"Biography, Drama, History, War","Dramas,Military Dramas,20th Century Period Pieces,Political Dramas,Tearjerkers,Social Issue Dramas,Dramas based on real life","English, French, Kinyarwanda",Movie,4.2,Australia,> 2 hrs,Terry George,"Xolani Mali, Hakeem Kae-Kazim, Don Cheadle, Desmond Dube",8.1,91.0,79.0,17.0,"$23,530,892",04 Feb 2005,"Amid the holocaust of tribal fighting in Rwanda, one ordinary hotel manager musters the courage to save more than 1,000 refugees.",335561.0
15026,Hook,"Adventure, Comedy, Family, Fantasy","Family Adventures,Children & Family Films,Films for ages 8 to 10,Family Sci-Fi & Fantasy,Films Based on Books",English,Movie,2.5,"United Kingdom,Switzerland,South Africa,Iceland,France,Israel,Italy,Sweden,Portugal,United States,Spain,Thailand,Singapore,Malaysia,Hong Kong",> 2 hrs,Steven Spielberg,"Dustin Hoffman, Bob Hoskins, Robin Williams, Julia Roberts",6.8,29.0,52.0,7.0,"$119,654,823",11 Dec 1991,"Peter Pan, the boy who wasnt supposed to grow up, did just that. But vengeful Capt. Hook kidnaps Peters kids, forcing him to return to Neverland.",235730.0
15028,The Pursuit of Happyness,"Biography, Drama","Dramas,Tearjerkers,Social Issue Dramas,Dramas based on real life,Movies Based on Real Life,Award-winning Dramas","English, Cantonese",Movie,3.5,"South Korea,France,Switzerland,Hong Kong,Canada,Thailand,Japan,Netherlands,Germany,Italy,Singapore,Malaysia,Turkey,Russia,Australia,United States",1-2 hour,Gabriele Muccino,"Will Smith, Jaden Smith, Brian Howe, Thandie Newton",8.0,67.0,64.0,12.0,"$163,566,459",15 Dec 2006,"When Chris and his son are evicted, they face trying times as a desperate Chris accepts an unpaid internship at a stock brokerage firm.",449803.0
