,Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Actors,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Boxoffice,Release Date,Summary,IMDb Votes
7327,Resident Evil: The Final Chapter,"Action, Horror, Sci-Fi","Gory Horror Movies,Horror Movies,Action & Adventure,Action Sci-Fi & Fantasy,Sci-Fi & Fantasy,Action Thrillers,Sci-Fi Thrillers,Zombie Horror Films,US Movies,Futuristic Sci-Fi",English,Movie,2.4,"Canada,South Korea",1-2 hour,Paul W.S. Anderson,"Milla Jovovich, Shawn Roberts, Iain Glen, Ali Larter",5.5,37.0,49.0,2.0,"$26,830,068",27 Jan 2017,"Alice fights to get to Raccoon City and obtain a crucial antivirus, but Dr. Isaacs, Umbrella Corp. and hordes of violent zombies all stand in her way.",84304.0
7353,Hostiles,"Drama, Western","Westerns,Dramas","English, Cheyenne, French",Movie,3.5,"Canada,Turkey,United Kingdom,Germany",> 2 hrs,Scott Cooper,"Stella Cooper, Rosamund Pike, Scott Shepherd, Ava Cooper",7.2,71.0,65.0,4.0,"$29,819,114",26 Jan 2018,"After a long career battling the Cheyenne, a U.S. Army captain is ordered to safely escort the tribes most influential chief to his Montana homeland.",71990.0
7365,Boo 2! A Madea Halloween,"Comedy, Drama, Horror","International Movies,Supernatural Horror Movies,Horror Movies,Comedies,International Comedies,Horror Comedies",English,Movie,3.9,"Hungary,Canada,Czech Republic,Poland,Argentina,Greece,Slovakia,Turkey,Mexico,Colombia,Romania",1-2 hour,Tyler Perry,"Cassi Davis, Yousef Erakat, Tyler Perry, Patrice Lovely",3.8,4.0,17.0,1.0,"$47,319,572",20 Oct 2017,"When teenage Tiffany heads to a frat party at a lake, her great-aunt Madea must tag along and protect her from all sorts of horrifying characters.",4185.0
8163,Single White Female,"Drama, Thriller","Crime Thrillers,Crime Movies,Psychological Thrillers,Thrillers,Films Based on Books,US Movies",English,Movie,3.0,"Hong Kong,Thailand,Singapore,Malaysia,Israel",1-2 hour,Barbet Schroeder,"Steven Weber, Jennifer Jason Leigh, Bridget Fonda, Peter Friedman",6.4,53.0,63.0,1.0,"$48,017,402",14 Aug 1992,An up-and-coming fashion designers mousy new roommate seems perfect -- until her envy takes a sinister turn in this dark psychological thriller.,32388.0
8212,The Nutty Professor II: The Klumps,"Comedy, Romance, Sci-Fi","Comedies,Romantic Comedies,Romantic Movies,Slapstick Comedies,Romantic Favorites",English,Movie,1.8,"Belgium,Netherlands,Spain,Portugal,Greece,Turkey",1-2 hour,Peter Segal,"Janet Jackson, Eddie Murphy, Larry Miller, John Ales",4.4,26.0,38.0,2.0,"$123,309,890",28 Jul 2000,"Get ready for some big laughs: Americas favorite portly professor, Sherman Klump, is back... and getting married to teaching colleague Denise Gaines. Unfortunately, destructive doppelganger Buddy Love is back, too.",48311.0
8213,Downsizing,"Drama, Fantasy, Sci-Fi","Dramas,Social Issue Dramas,Comedies","English, Spanish, Norwegian, French, Korean, Greek, Vietnamese",Movie,2.8,"Switzerland,Germany",> 2 hrs,Alexander Payne,"Hong Chau, Matt Damon, Christoph Waltz, Kristen Wiig",5.7,47.0,63.0,1.0,"$24,449,754",22 Dec 2017,Suburban couple Paul and Audrey decide to have themselves shrunk to tiny size and relocated to a miniature city where they can live in upscale luxury.,99276.0
8241,Geostorm,"Action, Sci-Fi, Thriller","Action Thrillers,Action & Adventure,Sci-Fi Thrillers,Action Sci-Fi & Fantasy,Sci-Fi & Fantasy,Blockbuster Action & Adventure,US Movies","English, Cantonese, Russian, Hindi, Spanish",Movie,1.5,"Brazil,Argentina,Turkey,Mexico,Colombia,Poland,Greece,Czech Republic,Hungary,Slovakia,Romania",1-2 hour,Dean Devlin,"Gerard Butler, Alexandra Maria Lara, Abbie Cornish, Jim Sturgess",5.3,16.0,21.0,1.0,"$33,700,160",20 Oct 2017,"When a weather-controlling satellite system suddenly breaks down, a scientist must race against the clock to prevent a climate cataclysm on Earth.",95157.0
8244,I Feel Pretty,"Comedy, Romance",Comedies,English,Movie,2.3,"France,Canada,Hungary,Czech Republic,Netherlands,Germany,India,Slovakia,Belgium,Romania,Mexico,Argentina,Colombia",1-2 hour,"Abby Kohn, Marc Silverstein","Amy Schumer, Michelle Williams, Tom Hopper, Rory Scovel",5.5,35.0,48.0,1.0,"$48,795,601",20 Apr 2018,"After a spin class accident, a woman plagued by self-doubt wakes up with newfound confidence and a fearless outlook on life, dating and booty-shaking.",49029.0
8256,The Devil Wears Prada,"Comedy, Drama","Golden Globe Award-winning Movies,Blockbuster Movies,Award-winning Movies,Comedies,Movies Based on Books,Dramas,US Movies","English, French",Movie,3.4,"South Korea,Switzerland,Germany",1-2 hour,David Frankel,"Emily Blunt, Anne Hathaway, Stanley Tucci, Meryl Streep",6.9,75.0,62.0,20.0,"$124,740,460",30 Jun 2006,"After taking a job as an assistant for a powerful fashion magazine editor, ordinary Andrea is thrilled -- until the magic wears off.",372576.0
8257,Independence Day,"Action, Adventure, Sci-Fi","Sci-Fi & Fantasy,Blockbuster Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Action,Blockbuster Movies,Award-winning Movies,Blockbuster Action,Action & Adventure,Alien Sci-Fi,US Movies",English,Movie,3.3,"South Korea,Hong Kong,Germany,Singapore",> 2 hrs,Roland Emmerich,"Will Smith, Mary McDonnell, Bill Pullman, Jeff Goldblum",7.0,67.0,59.0,35.0,"$306,169,268",03 Jul 1996,"When aliens arrive in Earths atmosphere and start blowing things up, a cocky pilot and a goofy scientist act to save humanity from destruction.",528920.0
8258,Aliens,"Action, Adventure, Sci-Fi, Thriller","Action Thrillers,Horror Movies,Sci-Fi & Fantasy,Blockbuster Sci-Fi & Fantasy,Sci-Fi Thrillers,Action,Action Sci-Fi & Fantasy,Blockbuster Action,Award-winning Movies,Blockbuster Movies,Action & Adventure,Alien Sci-Fi,Classic Films,Classic Action & Adventure,US Movies,Futuristic Sci-Fi",English,Movie,4.4,"Hong Kong,South Korea,Switzerland,Thailand,Germany,Singapore,Malaysia",> 2 hrs,James Cameron,"Sigourney Weaver, Paul Reiser, Carrie Henn, Michael Biehn",8.3,97.0,84.0,20.0,"$85,160,248",18 Jul 1986,"Found after decades in hypersleep, Ripley joins a team of Marines on a mission to the planet where she first encountered a vicious, gut-busting alien.",654147.0
8259,Alien Resurrection,"Action, Horror, Sci-Fi","Horror Movies,Action Thrillers,Sci-Fi & Fantasy,Sci-Fi Thrillers,Action Sci-Fi & Fantasy,Gory Horror Movies,Action,Action & Adventure,Alien Sci-Fi,US Movies,Futuristic Sci-Fi",English,Movie,3.0,"Hong Kong,Switzerland,Thailand,Germany,Singapore,Malaysia",1-2 hour,Jean-Pierre Jeunet,"Sigourney Weaver, Ron Perlman, Winona Ryder, Dominique Pinon",6.2,54.0,63.0,7.0,"$47,795,658",26 Nov 1997,"Two hundred years after Ripleys death, a group of scientists clone her and mix her chromosomes with alien DNA, hoping to breed the ultimate weapon.",229629.0
8263,Alien vs. Predator,"Action, Adventure, Horror, Sci-Fi, Thriller","Sci-Fi & Fantasy,Horror Movies,Action Sci-Fi & Fantasy,Action & Adventure,Alien Sci-Fi,US Movies","English, Italian",Movie,1.7,"Hong Kong,South Korea,Switzerland,Thailand,Germany,Singapore,Malaysia",1-2 hour,Paul W.S. Anderson,"Sanaa Lathan, Ewen Bremner, Lance Henriksen, Raoul Bova",5.6,20.0,29.0,2.0,"$80,282,231",13 Aug 2004,The creepiest creatures from two epic sci-fi franchises face off in the ultimate showdown in this film directed by Paul W.S. Anderson.,185073.0
8288,Same Kind of Different as Me,"Biography, Drama","Dramas based on Real Life,Social Issue Dramas,Dramas,Dramas based on Books,Films Based on Real Life,Films Based on Books,Faith & Spirituality,Faith & Spirituality Films",English,Movie,4.3,"Germany,Switzerland",1-2 hour,Michael Carney,"Djimon Hounsou, Greg Kinnear, Renée Zellweger, Jon Voight",6.6,40.0,47.0,1.0,"$6,423,605",20 Oct 2017,A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.,6463.0
8290,Daddys Home 2,Comedy,"Comedies,Goofy Comedies,Late Night Comedies","English, Spanish",Movie,1.8,"Switzerland,Germany",1-2 hour,Sean Anders,"Will Ferrell, John Lithgow, Mark Wahlberg, Mel Gibson",6.0,21.0,30.0,1.0,"$104,029,443",10 Nov 2017,"The blissful co-parenting groove of dads Brad and Dusty is disrupted by a holiday visit from their fathers -- one a macho man, the other a softie.",62895.0
8304,"I, Tonya","Biography, Comedy, Drama, Sport","Comedies,Dramas based on Real Life,Biographical Dramas,Dramas,Dark Comedies,Sports Dramas,Films Based on Real Life,Sports Films,Sports Comedies",English,Movie,4.0,"Japan,Canada,Belgium,Netherlands,Germany,Australia",1-2 hour,Craig Gillespie,"Margot Robbie, Sebastian Stan, Julianne Nicholson, Allison Janney",7.5,90.0,77.0,46.0,"$30,014,539",19 Jan 2018,"From her troubled home to the infamous incident, a tongue-in-cheek look at the forces behind the turbulent career of figure skater Tonya Harding.",183143.0
8310,My Little Pony: The Movie,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Musical","Movies for ages 5 to 7,Movies for ages 8 to 10,Children & Family Movies,Animal Tales,Family Sci-Fi & Fantasy,Kids Music,Movies for ages 3 to 4,International Movies",English,Movie,4.4,"South Korea,Romania,Hungary,Switzerland,Belgium,Canada,Czech Republic,Germany,Singapore,Argentina,Mexico,Colombia",1-2 hour,Jayson Thiessen,"Emily Blunt, Adam Bengis, Uzo Aduba, Ashleigh Ball",6.1,46.0,39.0,4.0,"$21,885,107",06 Oct 2017,"When the evil Storm King threatens the Ponyville residents, the courageous Mane 6 ponies journey beyond the borders of Equestria to save their home.",6018.0
8311,The Frighteners,"Comedy, Fantasy, Horror","International Movies,Horror Movies,Supernatural Horror Movies",English,Movie,3.1,"Lithuania,Poland,Greece,Czech Republic,Hungary,Slovakia,Romania",1-2 hour,Peter Jackson,"Michael J. Fox, Trini Alvarado, Peter Dobson, John Astin",7.1,64.0,52.0,3.0,"$16,759,216",19 Jul 1996,"This outlandish tale centers on shady psychic detective Frank Bannister, who uses his ability to communicate with the dead to boost his business.",82373.0
8325,Certain Women,Drama,"Dramas,Dramas based on Books,Independent Movies,Independent Dramas,Films Based on Books,US Movies",English,Movie,4.0,Canada,1-2 hour,Kelly Reichardt,"Ashlie Atkinson, Laura Dern, James Le Gros, Jared Harris",6.3,92.0,82.0,12.0,"$1,087,585",22 Feb 2017,"In a small Montana town, a wife and mother feels alienated, a ranch hand crushes on a teacher and a lawyer juggles a tough client and a married lover.",12142.0
8326,Dogtown and Z-Boys,"Documentary, Sport","Sports Movies,Biographical Documentaries,Sports Documentaries,Documentaries,Social & Cultural Docs,Sports & Fitness,Documentaries",English,Movie,4.1,"Australia,South Africa",1-2 hour,Stacy Peralta,"Jeff Ament, Sean Penn, Jay Adams, Tony Alva",7.7,92.0,76.0,7.0,"$1,300,682",10 May 2002,"This documentary focuses on Californias Z-Boys, who revolutionized skateboarding in the 1970s when they infused surfing techniques into the sport.",12308.0
8327,Duck Butter,"Comedy, Drama, Romance","Romantic Independent Movies,Steamy Romantic Movies,Independent Movies,Romantic Movies,Dramas,Independent Dramas,LGBTQ Dramas,Romantic Dramas,LGBTQ Films","English, Catalan, Spanish",Movie,6.2,"Spain,United Kingdom,Canada,Hong Kong,United States,Australia,Germany,Russia,Singapore,Czech Republic,France,Poland,India,Sweden,Netherlands,Slovakia,Lithuania,Brazil,Hungary,Japan,Romania,Mexico,Belgium,Greece,South Korea,Switzerland,Argentina,Portugal,South Africa,Iceland,Israel,Italy,Thailand,Turkey,Malaysia,Colombia",1-2 hour,Miguel Arteta,"Alia Shawkat, Drew Langer, Marc Maron, Mark Duplass",5.3,57.0,58.0,2.0,"$6,877",27 Apr 2018,"Wary of dishonesty in relationships, two young women embark on a 24-hour experiment on intimacy, but their romance flounders as the clock winds down.",3223.0
8340,True Lies,"Action, Comedy, Thriller","Action Comedies,Blockbuster Action,Award-winning Movies,Action Thrillers,Action,Golden Globe Award-winning Movies,Comedies,Blockbuster Movies,Action & Adventure,Spy Action & Adventure,Classic Movies,Classic Comedies,Classic Action & Adventure,Blockbuster Action & Adventure,Comedy Blockbusters,US Movies","English, French, Arabic, German",Movie,3.4,"South Korea,Hong Kong,Switzerland,Thailand,Germany,Singapore,Malaysia",> 2 hrs,James Cameron,"Arnold Schwarzenegger, Tom Arnold, Bill Paxton, Jamie Lee Curtis",7.2,71.0,63.0,8.0,"$146,282,411",15 Jul 1994,"Special agent Harry Tasker is a top spy in the ultra-secret Omega Sector -- unbeknownst to his wife, who thinks hes just a boring computer salesman.",238573.0
8341,It Takes Two,"Comedy, Family, Romance","Family Comedies,Children & Family Movies,Family Features,Comedies,Movies for ages 8 to 10,US Movies",English,Movie,1.9,"United Kingdom,Mexico,India,Brazil,Argentina,Greece,Colombia",1-2 hour,Andy Tennant,"Ashley Olsen, Kirstie Alley, Mary-Kate Olsen, Steve Guttenberg",5.9,8.0,45.0,1.0,"$19,474,589",17 Nov 1995,"The Olsen twins put a cute new spin on Mark Twains classic tale The Prince and the Pauper, playing identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa.",20870.0
8351,Ice Age,"Animation, Adventure, Comedy, Family, Fantasy","Family Adventures,Movies for ages 8 to 10,Children & Family Movies,Family Comedies,Animal Tales,Movies for ages 5 to 7,Comedies,US Movies",English,Movie,3.5,South Korea,1-2 hour,"Carlos Saldanha, Chris Wedge","John Leguizamo, Goran Visnjic, Ray Romano, Denis Leary",7.5,77.0,60.0,5.0,"$176,387,405",15 Mar 2002,"With the impending Ice Age almost upon them, a trio of prehistoric critters finds an orphaned infant and decides to return it to its human parents.",443268.0
8376,Ice Age: Dawn of the Dinosaurs,"Animation, Adventure, Comedy, Family, Fantasy","Comedies,Movies for ages 5 to 7,Animal Tales,Family Comedies,Children & Family Movies,Movies for ages 8 to 10,Family Adventures,US Movies",English,Movie,2.7,South Korea,1-2 hour,"Carlos Saldanha, Mike Thurmeier","Karen Disher, Eunice Cho, Maile Flanagan, Harrison Fahn",6.9,46.0,50.0,3.0,"$196,573,705",01 Jul 2009,"Times are changing for moody mammoth Manny (voiced by Ray Romano), motormouthed sloth Sid and crafty saber-toothed tiger Diego.",224642.0
8390,Loving Pablo,"Biography, Crime, Drama","Dramas,Dramas based on Real Life,Spanish Dramas,Spanish Movies,20th Century Period Pieces,Dramas based on Books,Biographical Dramas,Crime Dramas,International Dramas,Police Movies,Police Dramas,Films Based on Real Life,Films Based on Books,Crime Movies","English, Spanish",Movie,2.3,"Brazil,Spain,Argentina,Mexico,Colombia,South Korea",> 2 hrs,Fernando León de Aranoa,"Julieth Restrepo, Penélope Cruz, Javier Bardem, Peter Sarsgaard",6.3,31.0,42.0,1.0,"$22,017",15 Jun 2018,"Journalist Virginia Vallejo reflects on her exhilarating, dangerous affair with Pablo Escobar as he creates a drug empire while terrorizing a nation.",18228.0
8418,It,Horror,"Horror Movies,Supernatural Horror Movies,Monster Movies,Slasher & Serial Killer Movies,Movies Based on Books,Creature Features,US Movies","English, Hebrew",Movie,3.8,"Brazil,Argentina,Turkey,Mexico,Colombia",> 2 hrs,Andy Muschietti,"Sophia Lillis, Finn Wolfhard, Jaeden Martell, Jeremy Ray Taylor",7.3,86.0,69.0,8.0,"$328,828,874",08 Sep 2017,"As kids vanish throughout town, a group of outcasts must face their biggest fears as well as a murderous, terrifying and seemingly invincible clown.",460854.0
8425,Passengers,"Drama, Romance, Sci-Fi, Thriller","Sci-Fi & Fantasy,Sci-Fi Dramas,Dramas,Blockbuster Sci-Fi & Fantasy,Sci-Fi,US Movies,Futuristic Sci-Fi","English, Spanish, Japanese, French",Movie,2.3,"South Korea,Belgium,Portugal,France,Canada,Switzerland,Russia,Japan,Spain,Germany,India,Greece",1-2 hour,Morten Tyldum,"Jennifer Lawrence, Michael Sheen, Laurence Fishburne, Chris Pratt",7.0,30.0,41.0,1.0,"$100,014,699",21 Dec 2016,"After waking from his hibernation decades ahead of schedule, a lonely passenger on an interplanetary journey decides to rouse a fellow traveler.",351103.0
8432,Sweet Country,"Adventure, Crime, Drama, History, Thriller, Western","Australian Movies,Crime Dramas,Crime Movies,International Movies,Dramas,Social Issue Dramas,Independent Movies,Westerns,Historical Dramas","English, Aboriginal",Movie,5.5,"France,Australia",1-2 hour,Warwick Thornton,"Shanika Cole, Ewen Leslie, Hamilton Morris, Sam Neill",6.9,96.0,87.0,22.0,"$104,297",06 Apr 2018,"In 1920s Australia, an Aboriginal farmhand kills a white man in self-defense, then flees into the Outback, where he is pursued by a determined lawman.",7450.0
8440,Dunkirk,"Action, Drama, History, Thriller, War","British Movies,20th Century Period Pieces,Dramas,Critically-acclaimed Movies,Dramas based on Real Life,Critically-acclaimed Dramas,Military Dramas,Films Based on Real Life,British Dramas,Historical Dramas","English, French, German",Movie,4.4,"France,Belgium,Switzerland,Brazil,Argentina,Turkey,Mexico,Colombia,Germany",1-2 hour,Christopher Nolan,"Damien Bonnard, Lee Armstrong, Aneurin Barnard, Fionn Whitehead",7.8,92.0,94.0,64.0,"$189,740,665",21 Jul 2017,"In May 1940, soldiers and civilians struggle by land, sea and air to evacuate the British army and their allies, Europes last hope, from Dunkirk.",556842.0
8441,An Officer and a Gentleman,"Drama, Romance","Romantic Movies,Dramas,Oscar-winning Movies,Award-winning Movies,Classic Dramas,Romantic Dramas,Military Dramas,Golden Globe Award-winning Movies,Classic Movies,Steamy Romance,US Movies,Critically Acclaimed Films,Critically Acclaimed Dramas,Tearjerkers","English, Filipino",Movie,3.7,"Russia,Lithuania,Iceland,Italy,India,Greece,Sweden,Germany",> 2 hrs,Taylor Hackford,"David Keith, Robert Loggia, Debra Winger, Richard Gere",7.0,79.0,75.0,9.0,"$129,795,554",13 Aug 1982,"Dreams of being a Navy pilot prompt Zack to enroll in officer training school, where he runs afoul of a drill instructor who aims to change his ways.",49685.0
8454,Billy Lynns Long Halftime Walk,"Action, Drama, Sport, Thriller, War","Military Dramas,Dramas based on Books,Dramas",English,Movie,2.6,Canada,1-2 hour,Ang Lee,"Joe Alwyn, Mason Lee, Arturo Castro, Garrett Hedlund",6.2,44.0,53.0,2.0,"$1,738,477",18 Nov 2016,A soldier whose unit gained acclaim for their fearless actions comes home on leave from Iraq and wrestles with the events that led to his recent fame.,21177.0
8456,The Lamb,"Animation, Adventure, Comedy, Family, Fantasy","Movies for ages 8 to 10,Movies for ages 5 to 7,Animal Tales,Kids Faith & Spirituality,Faith & Spirituality,Children & Family Movies,Movies for ages 3 to 4,Family Features,US Movies",English,Movie,4.0,"Japan,France,Canada,Switzerland,Brazil,Australia,Argentina,Turkey,Mexico,Colombia",1-2 hour,Timothy Reckart,"Gina Rodriguez, Aidy Bryant, Keegan-Michael Key, Steven Yeun",6.3,42.0,42.0,1.0,"$40,896,334",17 Nov 2017,A big-dreaming donkey escapes his menial existence and befriends some free-spirited animal pals in this imaginative retelling of the Nativity Story.,6971.0
8457,Lady Bird,"Comedy, Drama","Independent Dramas,Independent Movies,Comedies,Dramas,Independent Comedies,Dark Comedies,US Movies","English, Spanish",Movie,4.5,"Iceland,Brazil,France",1-2 hour,Greta Gerwig,"Saoirse Ronan, Tracy Letts, Lucas Hedges, Laurie Metcalf",7.4,99.0,94.0,116.0,"$48,958,273",01 Dec 2017,"An intrepid high schooler in Sacramento undergoes the trials of love, family and self-discovery as she dreams of escaping to college in the East Coast.",243256.0
8463,Thelma,"Drama, Fantasy, Horror, Mystery, Romance, Sci-Fi, Thriller","International Movies,Dramas,Norwegian Films","Norwegian, Swedish",Movie,4.0,"Hong Kong,South Africa,Thailand,Singapore,India,Malaysia",1-2 hour,Joachim Trier,"Eili Harboe, Henrik Rafaelsen, Kaya Wilkins, Ellen Dorrit Petersen",7.0,93.0,74.0,15.0,"$147,391",15 Sep 2017,A devout college student struggles to understand the connection between her feelings for a female classmate and her seemingly supernatural powers.,26944.0
8465,The Disaster Artist,"Biography, Comedy, Drama","Comedies,Biographical Dramas,Dramas based on Real Life,Dramas,Showbiz Dramas,Movies Based on Real Life",English,Movie,4.0,"Canada,United States,Switzerland,Italy,Mexico,Argentina,Brazil,Colombia",1-2 hour,James Franco,"Ari Graynor, Dave Franco, Seth Rogen, James Franco",7.4,91.0,76.0,31.0,"$21,120,616",08 Dec 2017,"Aspiring actor Greg moves to Los Angeles with his strange friend Tommy, then agrees to star in his movie. Things start weird and get a lot weirder.",138382.0
8483,Mother!,"Drama, Horror, Mystery","Horror Movies,Cult Movies,Cult Horror Movies,Independent Films,Psychological Horror Films",English,Movie,3.5,"Switzerland,Germany",> 2 hrs,Darren Aronofsky,"Jennifer Lawrence, Ed Harris, Michelle Pfeiffer, Javier Bardem",6.6,68.0,75.0,9.0,"$17,800,004",15 Sep 2017,"The private life of a poet and his wife ruptures at the seams when uninvited strangers begin to visit their tranquil, isolated home.",192493.0
8491,New Jack City,"Action, Crime, Drama, Thriller","Crime Action & Adventure,Action & Adventure,Crime Dramas,Crime Movies,Dramas",English,Movie,3.4,Israel,1-2 hour,Mario Van Peebles,"Ice-T, Wesley Snipes, Chris Rock, Allen Payne",6.7,77.0,61.0,1.0,"$47,624,353",08 Mar 1991,Streetwise cops try to bring down a drug dealer who rises to the top of the crack cocaine racket by taking over a Harlem apartment building.,31771.0
8492,The Hero,"Drama, Romance, Western","Dramas,Romantic Dramas,Romantic Movies,US Movies",English,Movie,4.3,"Switzerland,Italy",1-2 hour,Brett Haley,"Nick Offerman, Laura Prepon, Sam Elliott, Krysten Ritter",6.5,78.0,61.0,2.0,"$4,077,333",09 Jun 2017,"After an aging star of Western movies receives unexpected news, he must come to grips with his legacy -- both on and off the silver screen.",8137.0
8494,Beatriz at Dinner,"Comedy, Drama","Independent Movies,Independent Dramas,Social Issue Dramas,Dramas","English, Spanish",Movie,3.8,Canada,1-2 hour,Miguel Arteta,"John Lithgow, Salma Hayek, Connie Britton, Jay Duplass",6.0,75.0,68.0,2.0,"$7,115,854",09 Jun 2017,"When her car breaks down at a rich client’s home, holistic healer Beatriz stays for supper and clashes with a know-it-all billionaire guest.",9081.0
8518,The Glass Castle,"Biography, Drama","International Movies,Dramas based on Real Life,Dramas based on Books,Dramas,Films Based on Real Life,Films Based on Books",English,Movie,3.0,"Romania,Hungary,Canada,Czech Republic,Australia,Poland,Argentina,Slovakia,Mexico,Colombia",> 2 hrs,Destin Daniel Cretton,"Woody Harrelson, Naomi Watts, Brie Larson, Ella Anderson",7.2,52.0,56.0,1.0,"$17,273,059",11 Aug 2017,"A successful New York writer tries to reconcile her well-ordered life of privilege with her nomadic childhood ruled by a quixotic, unstable father.",29992.0
8519,Dean,"Comedy, Drama, Romance","Comedies,Independent Dramas,Independent Comedies,Independent Movies,Dramas",English,Movie,7.0,"United States,Switzerland,Italy",1-2 hour,Demetri Martin,"Jesaiah Baer, Kathrine Barnes, H. Jon Benjamin, Asif Ali",6.3,64.0,58.0,2.0,"$254,536",02 Jun 2017,"As his father takes steps to move on, a New Yorker grieving his moms death visits Los Angeles where new possibilities may bring him out of his funk.",2256.0
8522,"The Night Is Short, Walk On Girl","Animation, Adventure, Comedy, Family, Fantasy, Romance","Anime Comedies,Anime Sci-Fi & Fantasy,Japanese Academy Award-winning Movies,Romantic Movies,Sci-Fi & Fantasy,Anime Features,Romantic Movies based on Books,Anime,Comedies,Japanese Comedies,Romantic Comedies,Award-winning Movies,Romantic Japanese Movies,Romance Anime,Japanese Sci-Fi & Fantasy,Japanese Movies,Movies Based on Books,Quirky Romance,Romantic Favorites,Anime based on Books",Japanese,Movie,6.9,"Japan,South Korea",1-2 hour,Masaaki Yuasa,"Hiroshi Kamiya, Ryûji Akiyama, Kana Hanazawa, Gen Hoshino",7.6,90.0,65.0,2.0,"$406,490",07 Apr 2017,"One strange night in Kyoto seems to last a year. One hapless college student wants to confess his love to his classmate, but shes on her own journey.",3908.0
8523,Annabelle: Creation,"Horror, Mystery, Thriller","Horror Movies,Supernatural Horror Movies,US Movies","English, Spanish",Movie,3.3,"France,Belgium,Switzerland,Brazil,Argentina,Turkey,Mexico,Colombia",1-2 hour,David F. Sandberg,"Miranda Otto, Brad Greenquist, Samara Lee, Anthony LaPaglia",6.5,71.0,62.0,1.0,"$102,092,201",11 Aug 2017,"Years after their daughters death, a dollmaker and his wife open their home to several orphans, who soon begin to fear one of his eerie creations.",113029.0
8524,Faces Places,Documentary,"International Documentaries,International Movies,Documentaries,Documentaries",French,Movie,4.5,South Korea,1-2 hour,"Agnès Varda, JR","Agnès Varda, Clemens Van Dungern, Jeannine Carpentier, JR",7.9,99.0,94.0,36.0,"$953,717",28 Jun 2017,"French New Wave director Agnès Varda and muralist JR travel all across France, plastering giant portraits of people they encounter along the way.",10898.0
8545,Brads Status,"Comedy, Drama, Music","Dramas,Comedies",English,Movie,3.6,"Hong Kong,Australia,South Korea",1-2 hour,Mike White,"Austin Abrams, Jenna Fischer, Ben Stiller, Michael Sheen",6.5,79.0,71.0,1.0,"$2,133,158",15 Sep 2017,"While accompanying his musically gifted son on a university tour, Brad reflects on his own choices and whether hes fallen short of his potential.",16078.0
8560,Falling Down,"Crime, Drama, Thriller","Crime Thrillers,Psychological Thrillers,Crime Movies,Thrillers,Social Issue Dramas,Dramas,Crime Dramas","English, Spanish, Korean",Movie,3.4,United Kingdom,1-2 hour,Joel Schumacher,"Michael Douglas, Robert Duvall, Barbara Hershey, Rachel Ticotin",7.6,73.0,56.0,1.0,"$40,903,593",26 Feb 1993,"Stuck in a traffic jam, William Foster abandons his car and walks across Los Angeles. After encountering one obstacle after another, he finally snaps.",172474.0
8569,Swept Away,"Comedy, Romance","Romantic Dramas,Romantic Comedies,Dramas,Comedies,Steamy Romance,Romantic Movies,Dark Comedies,Social Issue Dramas,British Movies","English, Greek, Italian",Movie,1.0,"Belgium,France,Hungary,Lithuania,Romania,Switzerland,Czech Republic,Poland,India,Greece,Slovakia,Turkey",1-2 hour,Guy Ritchie,"Elizabeth Banks, Michael Beattie, Madonna, Bruce Greenwood",3.6,5.0,18.0,8.0,"$598,645",11 Oct 2002,A wealthy shrew gets her comeuppance when she ends up stranded on a deserted isle with a deckhand whose brawn and working-class grit turn the tables.,15788.0
8586,Ouija: Origin of Evil,"Drama, Horror, Mystery, Thriller","Teen Screams,Horror Movies,Supernatural Horror Movies,20th-Century Period Pieces,Chilling Horror Movies,US Movies","English, Ukrainian",Movie,3.5,South Korea,1-2 hour,Mike Flanagan,"Lulu Wilson, Henry Thomas, Annalise Basso, Elizabeth Reaser",6.1,82.0,65.0,2.0,"$35,144,505",21 Oct 2016,"In 1960s California, a fake mediums daughter tries to communicate with her late father through a Ouija board, but unleashes a demon instead.",54308.0
8628,Captain Fantastic,"Comedy, Drama","Independent Comedies,Cannes Film Festival Award-winning Movies,Award-winning Movies,Comedies,Independent Movies,Dark Comedies,Dramas","English, Esperanto",Movie,3.9,"United Kingdom,Canada,Sweden,United States",1-2 hour,Matt Ross,"George MacKay, Annalise Basso, Viggo Mortensen, Samantha Isler",7.9,82.0,72.0,15.0,"$5,879,835",29 Jul 2016,"A father raising his children off the grid begins to question his anti-establishment, utopian views when a tragic loss pulls them back into society.",189498.0
